Epoch 180 | Train Loss: 0.0237 | Val Loss: 0.0251 | Val Dice: 0.9549 | Val IoU: 0.9142 | Learning Rate: 3.125e-05
Epoch 181 | Train Loss: 0.0246 | Val Loss: 0.0250 | Val Dice: 0.9529 | Val IoU: 0.9104 | Learning Rate: 3.125e-05
Epoch 182 | Train Loss: 0.0244 | Val Loss: 0.0249 | Val Dice: 0.9540 | Val IoU: 0.9124 | Learning Rate: 3.125e-05
Epoch 183 | Train Loss: 0.0244 | Val Loss: 0.0250 | Val Dice: 0.9547 | Val IoU: 0.9138 | Learning Rate: 3.125e-05
Epoch 184 | Train Loss: 0.0254 | Val Loss: 0.0253 | Val Dice: 0.9543 | Val IoU: 0.9131 | Learning Rate: 3.125e-05
Epoch 185 | Train Loss: 0.0251 | Val Loss: 0.0251 | Val Dice: 0.9549 | Val IoU: 0.9141 | Learning Rate: 3.125e-05
Epoch 186 | Train Loss: 0.0259 | Val Loss: 0.0246 | Val Dice: 0.9525 | Val IoU: 0.9098 | Learning Rate: 3.125e-05
Epoch 187 | Train Loss: 0.0255 | Val Loss: 0.0251 | Val Dice: 0.9558 | Val IoU: 0.9158 | Learning Rate: 3.125e-05
Epoch 188 | Train Loss: 0.0227 | Val Loss: 0.0245 | Val Dice: 0.9533 | Val IoU: 0.9112 | Learning Rate: 3.125e-05
Epoch 189 | Train Loss: 0.0252 | Val Loss: 0.0244 | Val Dice: 0.9539 | Val IoU: 0.9122 | Learning Rate: 3.125e-05
Epoch 190 | Train Loss: 0.0246 | Val Loss: 0.0248 | Val Dice: 0.9547 | Val IoU: 0.9137 | Learning Rate: 3.125e-05
Epoch 191 | Train Loss: 0.0232 | Val Loss: 0.0244 | Val Dice: 0.9535 | Val IoU: 0.9116 | Learning Rate: 3.125e-05
